Approval Date,Approval Date,Company
2019-08-13,08/13/2019,LLY
2019-08-14,08/14/2019,SCPL
2019-08-14,08/14/2019,HMY
2019-08-15,08/15/2019,PKE
2019-08-15,08/15/2019,TARO
2019-08-16,08/16/2019,OGN
2019-08-16,08/16/2019,NVS
2019-08-16,08/16/2019,TARO
2019-08-16,08/16/2019,PRGO
2019-08-16,08/16/2019,ABBV
2019-08-16,08/16/2019,CLI.S
2019-08-18,08/18/2019,PFE
2019-08-18,08/18/2019,AYTU
2019-08-19,08/19/2019,BHC
2019-08-19,08/19/2019,TARO
2019-08-19,08/19/2019,NBRV
2019-08-19,08/19/2019,RBCN
2019-08-20,08/20/2019,ABBV
2019-08-20,08/20/2019,SCPL
2019-08-21,08/21/2019,ABBV
2019-08-21,08/21/2019,AMRX
2019-08-22,08/22/2019,LLY
2019-08-22,08/22/2019,GILD
2019-08-23,08/23/2019,GILD
2019-08-23,08/23/2019,LLY
2019-08-23,08/23/2019,TARO
2019-08-23,08/23/2019,AMRX
2019-08-26,08/26/2019,PFE
2019-08-26,08/26/2019,AZN
2019-08-27,08/27/2019,CTVA
2019-08-28,08/28/2019,GILD
2019-08-28,08/28/2019,ABBV
2019-08-29,08/29/2019,PFE
2019-08-29,08/29/2019,ACOR
2019-08-30,08/30/2019,PFE
2019-08-30,08/30/2019,AMRX
2019-09-05,09/05/2019,WNEB
2019-09-06,09/06/2019,AZN
2019-09-06,09/06/2019,ALKS
2019-09-06,09/06/2019,GSK
2019-09-06,09/06/2019,TARO
2019-09-06,09/06/2019,WNEB
2019-09-06,09/06/2019,GOL
2019-09-09,09/09/2019,PFE
2019-09-09,09/09/2019,LLY
2019-09-09,09/09/2019,NVS
2019-09-10,09/10/2019,XERS
2019-09-12,09/12/2019,ARDX
2019-09-12,09/12/2019,GSK
2019-09-13,09/13/2019,SAGE
2019-09-16,09/16/2019,PFE
2019-09-18,09/18/2019,ABBV
2019-09-18,09/18/2019,CEL.P
2019-09-19,09/19/2019,PFE
2019-09-19,09/19/2019,GILD
2019-09-19,09/19/2019,SCPL
2019-09-20,09/20/2019,CEL.P
2019-09-20,09/20/2019,NVO
2019-09-23,09/23/2019,EBS
2019-09-23,09/23/2019,AMRX
2019-09-24,09/24/2019,PFE
2019-09-25,09/25/2019,PFE
2019-09-25,09/25/2019,MRK
2019-09-25,09/25/2019,NVS
